                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8228,                 2.4873,                 1.0635,                0.26328,                0.15732,                0.11897,                0.06251,                 1.6917,                 1.5554,                 1.0111,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.7312,                 1.6238,                 1.0189,                0.21293,                0.17537,                0.14173,                0.07545,                 1.7178,                 1.4841,                   0.99,              0.0065925,              0.0065925,              0.0065925
                      3,                 1.7463,                 1.5555,                  1.013,                0.24176,                 0.2026,                0.16219,                0.08789,                 1.6781,                 1.3857,                0.99902,              0.0097939,              0.0097939,              0.0097939
                      4,                 1.7209,                 1.4884,                 1.0061,                0.27033,                0.22423,                0.18926,                0.10195,                 1.6111,                 1.3564,                0.97694,               0.009703,               0.009703,               0.009703
                      5,                 1.6829,                 1.4281,                0.99414,                0.29118,                0.23055,                0.20593,                0.11456,                 1.6049,                 1.2749,                0.96628,               0.009604,               0.009604,               0.009604
                      6,                 1.6537,                 1.3674,                0.98343,                0.30313,                0.23104,                0.21143,                0.11738,                 1.5988,                 1.2944,                0.96608,               0.009505,               0.009505,               0.009505
                      7,                 1.6167,                 1.3286,                0.97886,                0.29431,                0.24277,                0.21262,                 0.1182,                 1.5482,                 1.2379,                0.95879,               0.009406,               0.009406,               0.009406
                      8,                 1.6036,                 1.3001,                0.97107,                0.31863,                0.25355,                0.22755,                0.12763,                 1.5462,                  1.209,                0.95617,               0.009307,               0.009307,               0.009307
                      9,                 1.5866,                 1.2792,                0.96873,                0.34019,                0.26682,                  0.243,                0.13818,                 1.5095,                 1.1865,                0.95327,               0.009208,               0.009208,               0.009208
                     10,                 1.5732,                   1.25,                 0.9666,                0.35994,                0.27052,                0.24857,                0.14077,                 1.4905,                 1.1847,                0.94701,               0.009109,               0.009109,               0.009109
                     11,                 1.5513,                 1.2322,                0.96096,                0.33721,                0.26736,                0.24316,                0.13897,                 1.4765,                 1.1583,                0.94498,                0.00901,                0.00901,                0.00901
                     12,                 1.5448,                 1.2143,                0.95914,                 0.3636,                0.27671,                0.25924,                0.14618,                 1.4713,                   1.14,                 0.9394,               0.008911,               0.008911,               0.008911
                     13,                 1.5407,                 1.1999,                0.95644,                0.34825,                0.27378,                0.25726,                 0.1464,                 1.4974,                 1.1487,                0.94708,               0.008812,               0.008812,               0.008812
                     14,                 1.5167,                 1.1765,                0.95155,                0.38427,                0.27076,                0.26558,                0.14983,                 1.4679,                  1.131,                0.93827,               0.008713,               0.008713,               0.008713
                     15,                 1.5214,                 1.1749,                0.95216,                0.38043,                0.28118,                0.26503,                0.15077,                 1.4596,                 1.1131,                0.93762,               0.008614,               0.008614,               0.008614
                     16,                 1.5167,                 1.1673,                0.95026,                0.38056,                0.29002,                0.27342,                0.15431,                 1.4529,                 1.1092,                0.93743,               0.008515,               0.008515,               0.008515
                     17,                 1.4975,                 1.1483,                0.94882,                0.37559,                0.27842,                0.26794,                0.14992,                 1.4659,                  1.126,                0.93883,               0.008416,               0.008416,               0.008416
                     18,                 1.5067,                 1.1437,                0.94639,                0.38687,                0.28259,                0.27513,                0.15516,                 1.4564,                 1.0854,                0.93535,               0.008317,               0.008317,               0.008317
                     19,                 1.4935,                 1.1373,                0.94492,                0.37297,                 0.2888,                0.27739,                0.15764,                 1.4445,                 1.0943,                0.93402,               0.008218,               0.008218,               0.008218
