                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9602,                0.56504,                 1.3908,                0.94636,                0.91667,                0.97833,                0.79942,                0.77956,                0.47925,                 1.4287,                      0,                      0,                      0
                      2,                 1.0745,                0.77883,                 1.5872,                0.94082,                0.91667,                0.97833,                0.79948,                0.76857,                 0.4818,                 1.4245,             5.2079e-06,             5.2079e-06,             5.2079e-06
                      3,                0.88898,                0.90506,                 1.0753,                0.91449,                0.91667,                0.97833,                0.79963,                0.77265,                0.49093,                 1.4067,             1.0312e-05,             1.0312e-05,             1.0312e-05
                      4,                0.98274,                 0.9927,                 2.1624,                0.88683,                0.91705,                0.97833,                0.79974,                0.77029,                0.50043,                 1.4196,             1.5311e-05,             1.5311e-05,             1.5311e-05
                      5,                0.87334,                0.71403,                 1.7676,                0.88428,                0.92334,                0.97833,                0.79974,                0.77461,                0.50981,                 1.4208,             2.0207e-05,             2.0207e-05,             2.0207e-05
                      6,                0.81464,                0.62652,                 1.2048,                 0.8789,                0.93562,                0.97833,                0.79991,                0.77678,                 0.5268,                 1.4199,             2.4998e-05,             2.4998e-05,             2.4998e-05
                      7,                0.80523,                0.63382,                 1.4005,                0.87365,                0.94362,                0.97833,                0.80004,                0.77689,                0.53845,                 1.4332,             2.9685e-05,             2.9685e-05,             2.9685e-05
                      8,                0.90327,                0.56028,                 1.7276,                0.86931,                0.94872,                0.97833,                0.78387,                0.78468,                0.54981,                 1.4296,             3.4268e-05,             3.4268e-05,             3.4268e-05
                      9,                0.72953,                0.57906,                  1.457,                0.83039,                0.91667,                0.96722,                0.77763,                0.78622,                0.56499,                 1.4287,             3.8747e-05,             3.8747e-05,             3.8747e-05
                     10,                  1.038,                0.67072,                  1.118,                0.81734,                0.91667,                0.96722,                0.77788,                0.78544,                0.57941,                 1.4318,             4.3122e-05,             4.3122e-05,             4.3122e-05
                     11,                0.89426,                0.65368,                 1.4286,                0.79816,                0.91667,                0.96722,                0.81142,                0.77991,                0.61185,                 1.4139,             4.7393e-05,             4.7393e-05,             4.7393e-05
