                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3994,                 2.6662,                 1.2525,                0.58423,                  0.242,                 0.2897,                 0.2026,                 1.2515,                 1.4039,                 1.1971,             0.00016479,             0.00016479,             0.00016479
                      2,                 1.3136,                 1.2477,                 1.1818,                0.73808,                0.30745,                0.35413,                0.24465,                 1.2268,                 1.0769,                 1.1847,             0.00032818,             0.00032818,             0.00032818
                      3,                 1.2349,                 1.0255,                 1.1732,                0.77504,                0.33099,                 0.3784,                 0.2631,                 1.2084,                 1.0043,                 1.1821,             0.00048826,             0.00048826,             0.00048826
                      4,                 1.2363,                0.97353,                 1.1697,                0.73294,                0.34068,                0.38767,                0.27285,                 1.1907,                0.95886,                 1.1728,             0.00048515,             0.00048515,             0.00048515
                      5,                 1.2045,                0.90819,                 1.1594,                0.77933,                0.34545,                0.39212,                0.27577,                 1.1864,                0.94707,                 1.1631,              0.0004802,              0.0004802,              0.0004802
                      6,                 1.2051,                0.89794,                 1.1477,                0.77249,                0.33874,                0.39486,                0.27797,                 1.1795,                0.92262,                 1.1897,             0.00047525,             0.00047525,             0.00047525
                      7,                 1.1624,                0.85005,                 1.1539,                  0.769,                0.34989,                0.40231,                0.27842,                 1.1885,                0.90826,                 1.1634,              0.0004703,              0.0004703,              0.0004703
                      8,                 1.1668,                0.85276,                 1.1581,                0.67782,                0.35002,                0.40589,                0.28293,                 1.1771,                0.89867,                 1.1587,             0.00046535,             0.00046535,             0.00046535
                      9,                 1.1709,                0.84531,                 1.1427,                0.66119,                0.36458,                 0.4083,                0.28328,                 1.1606,                0.89799,                 1.1645,              0.0004604,              0.0004604,              0.0004604
                     10,                 1.1455,                0.82078,                 1.1297,                 0.6584,                0.36397,                0.41538,                0.28899,                 1.1593,                 0.8949,                 1.1728,             0.00045545,             0.00045545,             0.00045545
                     11,                 1.1511,                0.82765,                 1.1285,                0.62327,                0.38287,                0.42071,                0.29286,                 1.1484,                0.88283,                 1.1587,              0.0004505,              0.0004505,              0.0004505
                     12,                 1.1341,                 0.8056,                 1.1261,                0.68026,                0.37696,                0.42414,                0.29474,                 1.1473,                0.87466,                 1.1626,             0.00044555,             0.00044555,             0.00044555
                     13,                 1.1424,                0.80331,                 1.1188,                0.64806,                0.38003,                0.42013,                0.29285,                 1.1452,                0.88364,                 1.1585,              0.0004406,              0.0004406,              0.0004406
                     14,                 1.1295,                0.78377,                 1.1206,                0.68893,                0.37675,                0.43019,                0.30034,                 1.1634,                0.87067,                 1.1461,             0.00043565,             0.00043565,             0.00043565
                     15,                 1.1495,                0.80539,                 1.1249,                0.67877,                0.37108,                0.42165,                0.29573,                 1.1584,                0.88122,                 1.1758,              0.0004307,              0.0004307,              0.0004307
                     16,                 1.0961,                0.76849,                 1.1369,                0.68278,                0.37563,                0.42125,                  0.293,                 1.1607,                0.87025,                 1.1688,             0.00042575,             0.00042575,             0.00042575
                     17,                 1.1123,                0.77962,                 1.1245,                0.66567,                0.38046,                0.42546,                0.29683,                 1.1487,                 0.8686,                 1.1536,              0.0004208,              0.0004208,              0.0004208
                     18,                 1.1242,                0.86372,                  1.118,                0.69942,                0.37097,                 0.4256,                0.29702,                 1.1435,                0.87423,                 1.1572,             0.00041585,             0.00041585,             0.00041585
                     19,                 1.1129,                0.78472,                 1.1272,                0.67098,                0.37798,                 0.4262,                0.29966,                 1.1442,                 0.8788,                 1.1544,              0.0004109,              0.0004109,              0.0004109
                     20,                 1.1108,                0.77272,                 1.1096,                0.67806,                0.37956,                0.42481,                0.29983,                 1.1382,                0.85229,                 1.1591,             0.00040595,             0.00040595,             0.00040595
                     21,                 1.1033,                0.76195,                  1.129,                0.68365,                0.37012,                0.42785,                 0.3005,                  1.133,                0.85793,                  1.145,               0.000401,               0.000401,               0.000401
                     22,                 1.1174,                0.76521,                  1.118,                0.65432,                0.37792,                0.43186,                0.30273,                 1.1383,                0.84963,                 1.1576,             0.00039605,             0.00039605,             0.00039605
                     23,                 1.0996,                 0.7538,                 1.1116,                0.70125,                0.37047,                0.42601,                0.30044,                 1.1344,                0.84966,                 1.1583,              0.0003911,              0.0003911,              0.0003911
